EC_number,recommended_name,systematic_name,synonyms,KO,ecpath,SignalP,Alteromonas macleodii 1A3,Marinobacter adhaerens HP15,Marinovum 5F3,Phaeobacter gallaeciensis,Pseudoalteromonas haloplanktis,Roseovarius 5C3,Ruegeria pomeroyi,Sulfitobacter pseudonitzschiae
2.1.1.189,23S rRNA (uracil747-C5)-methyltransferase,S-adenosyl-L-methionine:23S rRNA (uracil747-C5)-methyltransferase,m5U methyltransferase;RumB;YefA;SP 1029;YbjF;SP_1029;PAB0760;RlmCD;RNA uridine methyltransferase B;RlmC,K03215,K03215  rumA; 23S rRNA (uracil1939-C5)-methyltransferase [EC:2.1.1.190],OTHER,0,0,0,0,0,1,0,0
2.1.1.190,23S rRNA (uracil1939-C5)-methyltransferase,S-adenosyl-L-methionine:23S rRNA (uracil1939-C5)-methyltransferase,RNA uridine methyltransferase A;YgcA;m5U methyltransferase;RlmD;RumA;YefA;SP 1029;SP_1029;RNA m5U methyltransferase;RlmCD;RlmFO;Mcap0476,,,OTHER,0,0,0,0,0,0,0,1
2.1.1.190,23S rRNA (uracil1939-C5)-methyltransferase,S-adenosyl-L-methionine:23S rRNA (uracil1939-C5)-methyltransferase,RNA uridine methyltransferase A;YgcA;m5U methyltransferase;RlmD;RumA;YefA;SP 1029;SP_1029;RNA m5U methyltransferase;RlmCD;RlmFO;Mcap0476,K03215,K03215  rumA; 23S rRNA (uracil1939-C5)-methyltransferase [EC:2.1.1.190],OTHER,1,1,1,1,1,0,1,0
2.1.1.191,23S rRNA (cytosine1962-C5)-methyltransferase,S-adenosyl-L-methionine:23S rRNA (cytosine1962-C5)-methyltransferase,rRNA large subunit methyltransferase I;YccW;RlmI,K06969,K06969  rlmI; 23S rRNA (cytosine1962-C5)-methyltransferase [EC:2.1.1.191],OTHER,1,1,1,1,1,1,1,1
2.1.1.192,23S rRNA (adenine2503-C2)-methyltransferase,S-adenosyl-L-methionine:23S rRNA (adenine2503-C2)-methyltransferase,NlmA;YfgB;RlmN;EC 2.1.1.194;RlmN methyltransferase;radical SAM enzyme;methyltransferase YfgB/RlmN;radical AdoMet rRNA methyltransferase;YfgB/RlmN;radical S-adenosyl-L-methionine enzyme;Cfr,K06941,K06941  rlmN; 23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192],OTHER,1,1,1,1,1,1,1,1
2.1.1.193,16S rRNA (uracil1498-N3)-methyltransferase,S-adenosyl-L-methionine:16S rRNA (uracil1498-N3)-methyltransferase,RsmE;16S rRNA methyltransferase;YggJ;DUF558 protein;Rv2372c;PA0419;m3U1498 specific methyltransferase,K09761,K09761  rsmE; 16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193],OTHER,1,1,1,1,1,1,1,1
2.1.1.197,malonyl-[acyl-carrier protein] O-methyltransferase,S-adenosyl-L-methionine:malonyl-[acyl-carrier protein] O-methyltransferase,BioC;SAM-dependent methyltransferase;S-adenosyl-L-methionine-dependent methyltransferase,K02169,K02169  bioC; malonyl-CoA O-methyltransferase [EC:2.1.1.197],OTHER,0,1,0,1,1,0,0,0
2.1.1.198,16S rRNA (cytidine1402-2'-O)-methyltransferase,S-adenosyl-L-methionine:16S rRNA (cytidine1402-2'-O)-methyltransferase,YraL;RsmI,K07056,K07056  rsmI; 16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198],OTHER,1,1,1,1,1,1,1,1
2.1.1.199,16S rRNA (cytosine1402-N4)-methyltransferase,S-adenosyl-L-methionine:16S rRNA (cytosine1402-N4)-methyltransferase,RsmH;methyltransferase RsmH;mraW,K03438,"K03438  mraW, rsmH; 16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199]",OTHER,1,1,1,1,1,1,1,1
2.1.1.200,tRNA (cytidine32/uridine32-2'-O)-methyltransferase,S-adenosyl-L-methionine:tRNA (cytidine32/uridine32-2'-O)-methyltransferase,2'-O-tRNA methyltransferase;PA14 14690;Saci_0621;tRNA:Cm32/Um32/Am32 methyltransferase;TrMet(Xm32);YfhQ;tRNA (cytidine(32)/uridine(32)/adenosine(32)-2'-O)-methyltransferase;TrmJ;tRNA:Cm32/Um32 methyltransferase,K15396,K15396  trmJ; tRNA (cytidine32/uridine32-2'-O)-methyltransferase [EC:2.1.1.200],OTHER,1,1,0,0,1,0,0,0
2.1.1.207,tRNA (cytidine34-2'-O)-methyltransferase,S-adenosyl-L-methionine:tRNA (cytidine34/5-carboxymethylaminomethyluridine34-2'-O)-methyltransferase,methyltransferase yibK;Trml;YibK;tRNA (cytidine/uridine-2'O)-ribose methyltransferase L;C/U34 2-O-methyltransferase;tRNA (Um34/Cm34) methyltransferase;tRNA (cytidine34/5-carboxymethylaminomethyluridine34'-O)-methyltransferase;tRNA methyltransferase L,K02533,K02533  lasT; tRNA/rRNA methyltransferase [EC:2.1.1.-],OTHER,0,1,0,0,0,0,0,0
2.1.1.207,tRNA (cytidine34-2'-O)-methyltransferase,S-adenosyl-L-methionine:tRNA (cytidine34/5-carboxymethylaminomethyluridine34-2'-O)-methyltransferase,methyltransferase yibK;Trml;YibK;tRNA (cytidine/uridine-2'O)-ribose methyltransferase L;C/U34 2-O-methyltransferase;tRNA (Um34/Cm34) methyltransferase;tRNA (cytidine34/5-carboxymethylaminomethyluridine34'-O)-methyltransferase;tRNA methyltransferase L,K03216,"K03216  trmL, cspR; tRNA (cytidine/uridine-2'-O-)-methyltransferase [EC:2.1.1.207]",OTHER,1,1,0,0,1,0,0,0
2.1.1.207,tRNA (cytidine34-2'-O)-methyltransferase,S-adenosyl-L-methionine:tRNA (cytidine34/5-carboxymethylaminomethyluridine34-2'-O)-methyltransferase,methyltransferase yibK;Trml;YibK;tRNA (cytidine/uridine-2'O)-ribose methyltransferase L;C/U34 2-O-methyltransferase;tRNA (Um34/Cm34) methyltransferase;tRNA (cytidine34/5-carboxymethylaminomethyluridine34'-O)-methyltransferase;tRNA methyltransferase L,K03437,"K03437  spoU; RNA methyltransferase, TrmH family",OTHER,1,1,0,0,0,0,0,0
2.1.1.210,demethylspheroidene O-methyltransferase,S-adenosyl-L-methionine:demethylspheroidene O-methyltransferase,1-hydroxycarotenoid O-methylase;acyclic 1-hydroxycarotenoid methyltransferase;1-HO-carotenoid methylase;CrtF;1-hydroxycarotenoid methylase,,,OTHER,0,0,0,0,0,2,0,0
2.1.1.222,2-polyprenyl-6-hydroxyphenol methylase,"S-adenosyl-L-methionine:3-(all-trans-polyprenyl)benzene-1,2-diol 2-O-methyltransferase",2-polyprenyl-6-hydroxyphenyl methylase;UbiG;3-demethyl ubiquinone-9 3-methyltransferase;UbiG methyltransferase;ubiquinone biosynthesis O-methyltransferase,,,OTHER,1,5,0,1,0,4,1,2
2.1.1.222,2-polyprenyl-6-hydroxyphenol methylase,"S-adenosyl-L-methionine:3-(all-trans-polyprenyl)benzene-1,2-diol 2-O-methyltransferase",2-polyprenyl-6-hydroxyphenyl methylase;UbiG;3-demethyl ubiquinone-9 3-methyltransferase;UbiG methyltransferase;ubiquinone biosynthesis O-methyltransferase,K00568,K00568  ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64],OTHER,1,1,1,1,1,1,1,1
2.1.1.222,2-polyprenyl-6-hydroxyphenol methylase,"S-adenosyl-L-methionine:3-(all-trans-polyprenyl)benzene-1,2-diol 2-O-methyltransferase",2-polyprenyl-6-hydroxyphenyl methylase;UbiG;3-demethyl ubiquinone-9 3-methyltransferase;UbiG methyltransferase;ubiquinone biosynthesis O-methyltransferase,K00574,K00574  cfa; cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79],OTHER,0,1,0,0,0,0,0,0
2.1.1.222,2-polyprenyl-6-hydroxyphenol methylase,"S-adenosyl-L-methionine:3-(all-trans-polyprenyl)benzene-1,2-diol 2-O-methyltransferase",2-polyprenyl-6-hydroxyphenyl methylase;UbiG;3-demethyl ubiquinone-9 3-methyltransferase;UbiG methyltransferase;ubiquinone biosynthesis O-methyltransferase,K15256,K15256  cmoA; tRNA (cmo5U34)-methyltransferase [EC:2.1.1.-],OTHER,0,0,0,0,0,0,0,1
2.1.1.223,tRNA1Val (adenine37-N6)-methyltransferase,S-adenosyl-L-methionine:tRNA1Val (adenine37-N6)-methyltransferase,YfiC,K15460,"K15460  yfiC, trmX; tRNA1Val (adenine37-N6)-methyltransferase [EC:2.1.1.223]",OTHER,1,0,1,1,1,1,1,1
2.1.1.228,tRNA (guanine37-N1)-methyltransferase,S-adenosyl-L-methionine:tRNA (guanine37-N1)-methyltransferase,tRNA (guanine(37)-N1)-methyltransferase 1;PaTrm5b;Trm1;aTrm5a methyltransferase;HsTrm5;PAB2272;tRNA (guanosine-1) methyltransferase;MJ0883;TrmD;bacterial tRNA (guanine37-N1)-methyltransferase;m1G37 tRNA methyltransferase;m1G37-forming tRNA methyltransferase;AtTrm5a;tRNA methyltransferase;SaTrmD;tRNA methyltransferase 5;Ta0997;TRM5;EcTrmD;tRNA(m1G37) methyltransferase;tRNAPhe:imG2 methyltransferase;Mj-Trm5;PaTrm5a;EC 2.1.1.31;tRNA(m1G37)methyltransferase;TRMT5;MjTrm5;HiTrmD;PaTrmD;PA14_15990;transfer RNA (m1G37) methyltransferase;TAW22;tRNA (m1G37) methyltransferase;tRNA methyltransferase D;MjTrm5b;tRNA (m1G37)-methyltransferase;aTrm5a/Taw22-like enzyme;Trm5a;Trm5a/Taw22-like enzyme;MtbTrmD;NEQ228;Trm5p;tRNA(m(1)G37)methyltransferase;tRNA m1G37 methyltransferase;At3g56120;tRNA(m1G37) MTase;bacterial tRNA-(N1G37) methyltransferase;More;trm5b;mono-functional methyltransferase;PAB_RS03940;tRNA-(N1G37) methyltransferase,K00554,K00554  trmD; tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228],OTHER,1,1,1,1,1,1,1,1
2.1.1.242,16S rRNA (guanine1516-N2)-methyltransferase,S-adenosyl-L-methionine:16S rRNA (guanine1516-N2)-methyltransferase,YhiQ;RsmJ,K15984,K15984  rsmJ; 16S rRNA (guanine1516-N2)-methyltransferase [EC:2.1.1.242],OTHER,1,1,0,0,1,0,0,0
2.1.1.264,23S rRNA (guanine2069-N7)-methyltransferase,S-adenosyl-L-methionine:23S rRNA (guanine2069-N7)-methyltransferase,m2G2069 methyltransferase;Smu472;3S rRNA m7G2069 methyltransferase;rlmK;ycbY;RlmKL;ribosomal large subunit methyltransferase;bifunctional methyltransferase;SAV1081,K06969,K06969  rlmI; 23S rRNA (cytosine1962-C5)-methyltransferase [EC:2.1.1.191],OTHER,0,0,0,0,1,0,0,0
2.1.1.266,23S rRNA (adenine2030-N6)-methyltransferase,S-adenosyl-L-methionine:23S rRNA (adenine2030-N6)-methyltransferase,adenine-N6 methyltransferase;YhiR;ribosomal RNA large subunit methyltransferase J;rlmJ;rRNA m6A methyltransferase;YhiR protein;m6A2030 methyltransferase;23S rRNA methyltransferase,K07115,K07115  rlmJ; 23S rRNA (adenine2030-N6)-methyltransferase [EC:2.1.1.266],OTHER,1,1,0,1,1,0,1,1
2.1.1.269,dimethylsulfoniopropionate demethylase,"S,S-dimethyl-beta-propiothetin:tetrahydrofolate S-methyltransferase",dimethylsufoniopropionate-dependent demethylase A;DMSP methyltransferase;dimethylsulfoniopropionate methyltransferase;DMSP:THF demethylase;DmdA;dimethylsulfoniopropionate-dependent demethylase;dimethylsulfoniumpropionate:tetrahydrofolate S-methyltransferase;DMSP demethylase,,,OTHER,0,0,0,1,0,2,1,0
2.1.1.269,dimethylsulfoniopropionate demethylase,"S,S-dimethyl-beta-propiothetin:tetrahydrofolate S-methyltransferase",dimethylsufoniopropionate-dependent demethylase A;DMSP methyltransferase;dimethylsulfoniopropionate methyltransferase;DMSP:THF demethylase;DmdA;dimethylsulfoniopropionate-dependent demethylase;dimethylsulfoniumpropionate:tetrahydrofolate S-methyltransferase;DMSP demethylase,K17486,K17486  dmdA; dimethylsulfoniopropionate demethylase [EC:2.1.1.269],OTHER,0,0,1,0,0,1,1,0
2.1.1.297,peptide chain release factor N5-glutamine methyltransferase,S-adenosyl-L-methionine:[peptide chain release factor 1 or 2]-L-glutamine (N5-glutamine)-methyltransferase,"N6AMT1;Hemk2;PrmC/HemK;N5-glutamine methyltransferase;N5-glutamine MTase;HemK;Hemk1;PrmC;HemK methyltransferase family member 2, isoform CRA_c;release factor glutamine methyltransferase;TM0488;N5-glutamine S-adenosyl-L-methionine dependent methyltransferase",K02493,"K02493  hemK, prmC, HEMK; release factor glutamine methyltransferase [EC:2.1.1.297]",OTHER,1,1,1,1,1,1,1,1
2.1.1.297,peptide chain release factor N5-glutamine methyltransferase,S-adenosyl-L-methionine:[peptide chain release factor 1 or 2]-L-glutamine (N5-glutamine)-methyltransferase,"N6AMT1;Hemk2;PrmC/HemK;N5-glutamine methyltransferase;N5-glutamine MTase;HemK;Hemk1;PrmC;HemK methyltransferase family member 2, isoform CRA_c;release factor glutamine methyltransferase;TM0488;N5-glutamine S-adenosyl-L-methionine dependent methyltransferase",K02687,K02687  prmA; ribosomal protein L11 methyltransferase [EC:2.1.1.-],OTHER,0,0,1,1,0,1,0,1
2.1.1.298,ribosomal protein L3 N5-glutamine methyltransferase,S-adenosyl-L-methionine:[ribosomal protein L3]-L-glutamine (N5-glutamine)-methyltransferase,YfcB;PrmB;PrmB-type N5-glutamine methyltransferase,K07320,K07320  prmB; ribosomal protein L3 glutamine methyltransferase [EC:2.1.1.298],OTHER,1,1,0,0,1,0,0,0
2.1.1.33,tRNA (guanine46-N7)-methyltransferase,S-adenosyl-L-methionine:tRNA (guanine-N7-)-methyltransferase,"7-methylguanine transfer ribonucleate methylase;PA14_05000;N7-methylguanine methylase;m7G46 methyltransferase Trm8p/Trm82p;Trm8–Trm82 complex;methyltransferase, transfer ribonucleate guanine 7-;METTL1;m7G-methyltransferase;TrMet (m7G46);TrmB;transfer RNA (m7G46) methyltransferase;methyltransferase like 1;tRNA (m7G46) methyltransferase;tRNA guanine 7-methyltransferase;transfer ribonucleate guanine 7-methyltransferase",,,OTHER,1,0,0,0,0,0,0,0
2.1.1.33,tRNA (guanine46-N7)-methyltransferase,S-adenosyl-L-methionine:tRNA (guanine-N7-)-methyltransferase,"7-methylguanine transfer ribonucleate methylase;PA14_05000;N7-methylguanine methylase;m7G46 methyltransferase Trm8p/Trm82p;Trm8–Trm82 complex;methyltransferase, transfer ribonucleate guanine 7-;METTL1;m7G-methyltransferase;TrMet (m7G46);TrmB;transfer RNA (m7G46) methyltransferase;methyltransferase like 1;tRNA (m7G46) methyltransferase;tRNA guanine 7-methyltransferase;transfer ribonucleate guanine 7-methyltransferase",K03439,"K03439  trmB, METTL1, TRM8; tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]",OTHER,1,1,1,1,2,1,1,1
2.1.1.34,tRNA (guanosine18-2'-O)-methyltransferase,S-adenosyl-L-methionine:tRNA (guanosine18-2'-O)-methyltransferase,"tRNA (guanosine-2'-O-)-methyltransferase;transfer ribonucleate guanosine 2'-methyltransferase;tRNA Gm18 methyltransferase;S-adenosyl-L-methionine:tRNA (guanosine-2'-O-)-methyltransferase;TARBP1;transfer RNA (Gm18) methyltransferase;methyltransferase, transfer ribonucleate guanosine 2'-;tRNA (Gm18) methyltransferase;SpoU;tRNA (Gm18) 2'-O-methyltransferase;TrmH;tRNA guanosine 2'-methyltransferase",,,OTHER,0,0,0,0,1,0,0,0
2.1.1.34,tRNA (guanosine18-2'-O)-methyltransferase,S-adenosyl-L-methionine:tRNA (guanosine18-2'-O)-methyltransferase,"tRNA (guanosine-2'-O-)-methyltransferase;transfer ribonucleate guanosine 2'-methyltransferase;tRNA Gm18 methyltransferase;S-adenosyl-L-methionine:tRNA (guanosine-2'-O-)-methyltransferase;TARBP1;transfer RNA (Gm18) methyltransferase;methyltransferase, transfer ribonucleate guanosine 2'-;tRNA (Gm18) methyltransferase;SpoU;tRNA (Gm18) 2'-O-methyltransferase;TrmH;tRNA guanosine 2'-methyltransferase",K00556,K00556  trmH; tRNA (guanosine-2'-O-)-methyltransferase [EC:2.1.1.34],OTHER,1,1,0,0,1,0,0,0
2.1.1.37,DNA (cytosine-5-)-methyltransferase,S-adenosyl-L-methionine:DNA (cytosine-5-)-methyltransferase,"hDNMT1;cytosine DNA methylase;deoxyribonucleic acid methylase;Dnmt3;cytosine DNA methyltransferase;DNA-cytosine methyltransferase;DNA-methyltransferase;EcoRI methylase;DNA (cytosine-5)-methyltransferase 3B;hhaIM;SSSI;DNA transmethylase;deoxyribonucleate methylase;DNA MTase;DNMTB;M.BsuRIb;EC 2.1.1.73;DNA (cytosine-C5) methyltransferase;cytosine-specific DNA methyltransferase;Dnmt1o;cytosine DNA MTase;MspI DNA methyltransferase;DCM;ssoIIM;DNA cytosine-5-methyltransferase 3B;Dnmt1 DNA-(cytosine-C5)-methyltransferase;CMT1;DNA 5-cytosine methylase;deoxyribonucleate methyltransferase;DNA cytosine-5-methyltransferase 1;DMT1;Dnmt2;DNA cytosine C(5)-methyltransferase;M.HhaI;type II DNA methylase;ssssIM;MET1;cytosine carbon 5 DNA methyltransferase;Nt-DRM1;M.MspI;M.Ssp6803I;DNMT1 methyltransferase;deoxyribonucleic acid methyltransferase;CG recognizing DNA methyltransferase SssI;M.BsuRIa;DNA (cytosine-5)-methyltransferase 1;DRM1/2;CMT3;M.SsoII;MYPE4940;DNA (cytosine-5) methyltransferase;deoxyribonucleic acid (cytosine-5-)-methyltransferase;M.EcoHK31l;DNA methyltransferase;sssIM;M.MpeI;NSUN2;DNA methyltransferase 1;5-cytosine DNA methyltransferase;DNA-cytosine 5-methylase;DNA methylase;EhMeth;DCMT;M.HhaIII;SsoII;HpaII;C5 MTase;MET1B;DNMT3B;methylphosphotriester-DNA methyltransferase;Dnmt1;deoxyribonucleic (cytosine-5-)-methyltransferase;Zmt3;deoxyribonucleic acid modification methylase;DNA cytosine-5 methyltransferase 1;DNA (cytosine-5)-methyltransferase 3A;M.BssHII;DNA cytosine methylase;DNA cytosine-5-methyltransferase 3A;cytosine-5 methyltransferase;cytosine 5-methyltransferase;methyltransferase, deoxyribonucleate;Dnmt3a;DNA cytosine c5 methylase;DNA methyltransferase-1;M.SssI;DNA (cytosine-5)-methyltransferase 2;MarII;DNA (cytosine-5-)-methyltransferase 3A;SinI DNA methyltransferase;C5-MTase;More;Z2389;DNMT3b2;EcoRII DNA-cytosine methylase;deoxyribonucleic methylase;DNMT;DNA cytosine methyltransferase;DNA methyltransferase 3a",K00558,"K00558  DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]",OTHER,0,0,0,1,0,0,1,2
2.1.1.44,L-histidine Nalpha-methyltransferase,"S-adenosyl-L-methionine:Nalpha,Nalpha-dimethyl-L-histidine Nalpha-methyltransferase","EgtD;histidine-alpha-N-methyltransferase;methyltransferase, histidine Nalpha-;dimethylhistidine methyltransferase",K18911,K18911  egtD; L-histidine Nalpha-methyltransferase [EC:2.1.1.44],OTHER,0,0,1,0,1,0,0,0
2.1.1.45,thymidylate synthase,"5,10-methylenetetrahydrofolate:dUMP C-methyltransferase",TS-DHFR;thymidylate synthetase;Thy1;LBRM_06_0830;TS;BgDHFR-TS;dTMP synthase;TSase;methylenetetrahydrofolate:dUMP C-methyltransferase;ThyA;TMP synthetase;TYMS;human TS;Y110A7A.4;DFR-TS;DHFR–TS;DHFR-TS;bifunctional TS-DHFR;ThyX;HTS;More;dihydrofolate reductase-thymidylate synthase;thymidylate synthase-dihydrofolate reductase;thymidylate synthase A;TMPS,K00560,"K00560  thyA, TYMS; thymidylate synthase [EC:2.1.1.45]",OTHER,1,1,0,1,1,1,0,1
2.1.1.61,tRNA 5-(aminomethyl)-2-thiouridylate-methyltransferase,S-adenosyl-L-methionine:tRNA 5-(aminomethyl)-2-thiouridylate N-methyltransferase,"methylaminomethyl-2-thiouridylate-methyltransferase;MTO2;tRNA 5-methylaminomethyl-2-thiouridylate 5'-methyltransferase;S-adenosyl-L-methionine:tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase;5-methylaminomethyl-2-thiouridylate methyltransferase;methyltransferase, transfer ribonucleate 5-methylaminomethyl-2-thiouridylate 5-;5-methylaminomethyl-2-thiouridylate-methyltransferase;TRMU;transfer ribonucleate 5-methylaminomethyl-2-thiouridylate 5-methyltransferase;tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase;tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase;MTU1",,,OTHER,0,0,1,1,0,1,1,1
2.1.1.61,tRNA 5-(aminomethyl)-2-thiouridylate-methyltransferase,S-adenosyl-L-methionine:tRNA 5-(aminomethyl)-2-thiouridylate N-methyltransferase,"methylaminomethyl-2-thiouridylate-methyltransferase;MTO2;tRNA 5-methylaminomethyl-2-thiouridylate 5'-methyltransferase;S-adenosyl-L-methionine:tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase;5-methylaminomethyl-2-thiouridylate methyltransferase;methyltransferase, transfer ribonucleate 5-methylaminomethyl-2-thiouridylate 5-;5-methylaminomethyl-2-thiouridylate-methyltransferase;TRMU;transfer ribonucleate 5-methylaminomethyl-2-thiouridylate 5-methyltransferase;tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase;tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase;MTU1",K03153,K03153  thiO; glycine oxidase [EC:1.4.3.19],OTHER,0,0,1,0,1,1,0,1
2.1.1.63,methylated-DNA-[protein]-cysteine S-methyltransferase,DNA-6-O-methylguanine/DNA-4-O-methylthymine:[protein]-L-cysteine S-methyltransferase,O6-alkylguanine DNA-alkyltransferase;O6-alkylguanine-DNA alkyl-transferase;O6meG-DNA alkyltransferase;OGT;alkylated DNA-protein alkyltransferase;O6-methylguanine-DNA-methyltransferase;methylguanine DNA methyltransferase;Ada-C;SSO2487;MGMT;ATASE;Pk-MGMT;O6-alkylguanine DNA alkyltransferase;O6-methylguanine DNA methyltransferase;N-hAGT;hAGT;carboxyl terminal domain of the inducible Escherichia coli ada alkyltransferase;MJ1529;AGAT;Mgt1;O6-methylguanine methyltransferase;Tk-MGMT;TTHA1564;AGTendoV;C-hAGT;Ada protein;O6-alkylguanine-DNA alkyltransferase;AGT;O6-MGMT;alkylguanine transferase;O6-methylguanine-DNA methyltransferase,,,OTHER,0,0,0,0,0,0,1,1
2.1.1.63,methylated-DNA-[protein]-cysteine S-methyltransferase,DNA-6-O-methylguanine/DNA-4-O-methylthymine:[protein]-L-cysteine S-methyltransferase,O6-alkylguanine DNA-alkyltransferase;O6-alkylguanine-DNA alkyl-transferase;O6meG-DNA alkyltransferase;OGT;alkylated DNA-protein alkyltransferase;O6-methylguanine-DNA-methyltransferase;methylguanine DNA methyltransferase;Ada-C;SSO2487;MGMT;ATASE;Pk-MGMT;O6-alkylguanine DNA alkyltransferase;O6-methylguanine DNA methyltransferase;N-hAGT;hAGT;carboxyl terminal domain of the inducible Escherichia coli ada alkyltransferase;MJ1529;AGAT;Mgt1;O6-methylguanine methyltransferase;Tk-MGMT;TTHA1564;AGTendoV;C-hAGT;Ada protein;O6-alkylguanine-DNA alkyltransferase;AGT;O6-MGMT;alkylguanine transferase;O6-methylguanine-DNA methyltransferase,K00567,"K00567  ogt, MGMT; methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]",OTHER,1,0,1,1,1,1,0,0
2.1.1.67,thiopurine S-methyltransferase,S-adenosyl-L-methionine:thiopurine S-methyltransferase,TPMT;thiopurine methyltransferase;TMPT;thiopurine-S-methyl-transferase;thiopurine methyl transferase;mercaptopurine methyltransferase;6-thiopurine transmethylase;6-thiopurine S-methyltransferase,K00569,"K00569  TPMT, tpmT; thiopurine S-methyltransferase [EC:2.1.1.67]",OTHER,1,1,0,0,0,0,0,0
2.1.1.72,site-specific DNA-methyltransferase (adenine-specific),,AhdI methyltransferase;RsrI N6-adenine DNA methyltransferase;MaqI;PlaDI;M.LlaCI;RceI;DNA-[N6-adenine] MTase;M-RsrI;DNA N6 adenine methyltransferase 1;DNA-(adenine N6)-methyltransferase;M.HpyAXII;M.BseCI;DNA-(adenine-N6)-methyltransferase;AamA;Dam methylase;N6 adenine MTase;CdpI;DNA-[adenine] methyltransferase;N6-adenine MTase;DNA MTase;M.BstZ1II;MmeI;adenine methyltransferase;DNA adenine methylase;DNA adenine 5'-GATC-3' methylase;AquII;KpnI DNA methyltransferase;MTA1c;M.EfaBMDam;Dam MTase;N6-Ade MTase;HP0593 DNA-(N6-adenine)-methyltransferase;DNA adenine N6-methyltransferase;specific methyltransferase;M.NgoAXP;C18A3.1;M. TthP;DNA adenine methyltransferases;modification methylase;HpyIIIM;DrdIV;EcoRII DNA methyltransferase;M.RsrI;M.EcoVIII;M2.BstSEI;DNA N6-adenine methyltransferase;Hia5 protein;DNA-adenine methyltransferase;N6AMT1;DNA [amino]-methyltransferase;SpoDI;Dam DNA-(adenine-N6)-MTase;adenine-(N6)-DNA methyltransferase;M.HindIII;M.EcaI;NmeAIII;adenine methyltransferase 1;AquIII;NgoAXPMod subunit;cell cycle-regulated DNA methyltransferase;T4 Dam DNA-(N6-adenine)-methyltransferase;KpnI MTase;cell-cycle regulating MTase;restriction-modification system;CstMI;CcrM;DNA 6mA methyltransferase;DraRI;BsbI;EcoVIII;Nme1821 protein;DNA-[adenine] MTase;DNA adenine methyltransferase;[N6-adenine] MTase;SdeAI;NhaXI;DNA-(adenine-N6-)-methyltransferase;isospecific adenine DNA methyltransferase;DNA adenine MTase;6mA DNA methyltransferases;N6 adenine methyltransferase;M.KpnI;ApyPI;T4 Dam (N6-Ade)-MTase;PspPRI;N6-adenine DNA -methyltransferase;KpnI DNA-(N6-adenine)-methyltransferase;M.EcoRII;PspOMII;N6_N4_MTase;gamma-adenine MTase;DNA:m6A MTase;HP0593 MTase;adenine-N6 DNA methyltransferase;M.EcoRI;DNA methyltransferase;M.EcoRV;AMT1;MTA1;M1.MboII;T4Dam;CcrM methylase;N-6 adenine-specific DNA methyltransferase 1;M.MboIIA;Wadmtase;isospecific DNA MTase;cell cycle-regulated methyltransferase;N6-adenine methyltransferase;DNA-[N6-adenine]-methyltransferase;adenine N6-methyltransferase;EcoDam;T4 Dam;T4 Dam DNA methyltransferase;HP0050 methyltransferase;EcoP15I;RpaB5I;M.Csp231I;EcoRV;M1.HpyAVI;MTase;type IC M.EcoR124I DNA methyltransferase;HpyAXII;T4 DNA-adenine methyltransferase;Pho(M98A)Dam;M.DpnM;T4DNA-(N6-adenine)-methyltransferase;MettL3-MettL14 complex;M.AluBI;DANN 6mA MTase;M.EcoP15I;VspI methyltransferase;CcrM DNA adenine methyltransferase;DNA N-6 adenine methyltransferase;DAMT-1;M.TaqI;T4Dam DNA-[N6-adenine] MTase;Dam;DNA adenine-N6 MTase;T4 Dam MTase;EcoDam DNA-[N6-adenine] MTase;AquIV;Dam DNA-(adenine-N6)-methyltransferase;acinetobacter adenine methyltransferase A;EcoP15I MTase;sequence-specific DNA adenine methyltransferase;M.EcoKCcrM;Hin1523 protein;DNA-(N6-adenine)-methyltransferase;BamHI MTase;M.AbaBGORF222P;m6A methyltransferase;EcoKDam;A1S_0222;DNAm6A MTase;M.Aba17978ORF8565P;adenine-N6 MTAse;More;NlaCI,,,OTHER,0,0,0,1,0,0,0,0
